Geneid	CBS138_RPMI_DMSO_A	CBS138_RPMI_VORI_A	CBS138_RPMI_FLUC_A	CBS138_RPMI_DMSO_B	CBS138_RPMI_VORI_B	CBS138_RPMI_FLUC_B	CBS138_RPMI_DMSO_C	CBS138_RPMI_VORI_C	CBS138_RPMI_FLUC_C
CAGL0E00671g	173.85964856344478	429.09329800346745	275.1918484132134	233.36495728437038	292.22368823477814	334.19779901348056	208.1202142296502	421.7207265868018	252.65614186564335
CAGL0E00693g	68.36228899824772	143.61468956338302	86.6776584691336	73.73097976591288	91.76915528438197	104.97829373313688	69.1133844855585	127.4523725710313	75.60849399813183
CAGL0E00715g	97.80777424577828	141.86391887670143	90.66172124630229	106.28675993111453	94.90379074168123	114.74800324649291	94.07532922074893	93.16430065811669	83.49222664633561
CAGL0E00737g	435.96197743875666	447.93982951304014	449.227371191485	472.20441069669954	421.2841963732376	396.0419035744418	444.01059197719974	295.8474099591284	395.6530604966297
CAGL0E00759g	92.46257469447497	121.78154923535348	100.23318913779293	88.75672445754441	119.49446544980479	119.3102732550884	80.73629000288155	112.45134110913115	86.29054813238746
CAGL0E00781g	539.7713792509106	318.897731253507	347.0021506651077	431.0292110959883	371.8326197623957	303.46008087476133	468.4264941713079	428.71368862167253	330.5920859459241
CAGL0E00803g	24.756713711299582	144.8505276951583	105.18897454353937	43.621251062139606	88.25620175465004	132.9049162099942	34.010649701696956	95.75846399363324	88.22784762273105
CAGL0E00847g	306.92698476168005	555.8181997659219	476.43560479166143	440.5804596596611	521.1061220565435	585.0304824153524	351.26136607050785	753.8864232431621	443.9913734744389
CAGL0E00869g	260.6956974144426	58.702311259324716	155.76713736101024	138.5513434937652	145.59841244765903	145.8083061332946	179.4919838614787	223.0980468544247	187.29919100391302
CAGL0E00891g	35.728439106080074	73.48087558513717	58.643460634666056	30.167968024283468	57.07198349841423	57.55833576500788	51.32799886173532	23.91141857084835	48.80918438171215
CAGL0E00913g	308.89626880689707	642.6873217786244	493.1006478717696	467.89470097894474	528.7265289441159	663.6950774120445	425.05511519391456	1240.3484435076382	531.3851060388275
CAGL0E00935g	100.90236345969072	218.79484257971117	156.64168772673023	145.48182263447896	152.67836494604185	184.93322772215905	124.73171759865467	207.3074874208456	130.5659135679483
CAGL0E00957g	68.08096270607385	210.50442844571882	149.25659574953949	78.85603997081046	166.18972467578007	183.36638751718684	88.61490380992602	238.32465773680454	147.15404045401527
CAGL0E00979g	125.75285260171492	85.78776364739912	52.813124863199675	107.62626430284912	69.28625269409757	56.12974616635677	108.03841705699607	54.25185062536819	55.4551979110853
CAGL0E01001g	59.92250023303195	196.24079667481274	125.9838387951028	109.8393584822367	124.73687302494321	156.63793696177885	95.40143253480592	140.6487686690938	106.22858872050692
CAGL0E01023g	3.657241798260166	2.8836223074756004	2.866581754304306	3.203162628060986	4.2155442356783235	4.93093829211837	1.4821154686519318	5.413906091512834	5.959886626543131
CAGL0E01045g	67.70586098317537	109.268688151129	88.37817306914462	85.08764726540181	90.41801931140814	109.6327308126131	95.08940822561604	186.55418073671308	104.58726554118805
CAGL0E01067g	105.5911349959217	52.67760036692034	57.7689102689461	83.10751036805503	63.93575424112124	63.687445978575575	84.4805817131601	96.66078167555206	68.89521312534396
CAGL0E01089g	36.10354082897855	44.541665999399896	34.64191170879611	38.61266949826243	29.83308228326198	37.46591431301154	37.13089279359576	41.95777220922446	30.956431439448632
CAGL0E01111g	115.15622892983292	104.84026817893432	101.44784242351511	90.96981863693199	101.33519797303663	97.6049280626795	106.01025904726185	54.364640335608044	82.77919280613969
CAGL0E01133g	534.7075059917812	547.0128530770232	376.44534631101294	391.7759090721137	420.74374198404803	403.5996033866606	427.70732182202846	259.6419129721363	279.03839395289185
CAGL0E01155g	963.6363261261913	700.977686994024	421.3389317513041	832.7058046548359	499.97435543923297	609.7312574113846	547.3686443963476	2606.2318345122303	492.8140113248339
CAGL0E01177g	2700.638629438321	4051.2833689812564	2767.8061491093795	3478.984049997292	2907.644613839664	2901.603725466739	2733.0989302714593	4029.8635571596255	2739.6374556568626
CAGL0E01199g	323.3376851384885	360.14382890150625	338.11088861362146	367.54835173987055	385.7763430034855	368.39178231022663	318.6548257601653	608.7260661644742	358.13133633990554
CAGL0E01221g	182.20566189793593	178.78458306348722	123.84604901223179	181.9978765943742	128.57409918818885	127.42097549259151	159.44442199602886	197.38199291973874	100.65885268576909
CAGL0E01243g	7.314483596520332	3.913487417288315	18.31697154869023	2.504290781938589	10.268633394601045	8.341119914704906	5.616437565417846	4.511588409594029	17.960380691727046
CAGL0E01265g	152.76017665040538	175.59200122306783	173.40390306969607	198.36312565774034	185.10562829741355	224.8415694135096	170.75530320416203	283.8917006737042	184.98519439044708
CAGL0E01287g	303.83239554776765	539.9067838193155	518.9970559233661	399.9876532640518	556.2897027927818	535.7210994941687	518.740414028176	253.100109778225	451.6598506237156
CAGL0E01309g	48.66944854607759	70.44277351118967	59.76094165753045	61.26776517673013	60.4228007113893	70.32347508198721	68.41132978988126	93.72824920931593	63.567639526899086
CAGL0E01331g	340.967466114717	131.46228126759297	171.8005607325428	448.15157132598705	179.26872089416665	207.60632715881547	506.5714659697707	378.07110872397953	181.85053618732167
CAGL0E01353g	199.6478920127152	78.9906539226352	240.59852283584615	287.76048264089695	134.2488702746789	214.5649410103096	760.2472293411436	37.22060437915073	249.68292528671327
CAGL0E01397g	44.16822787129585	61.482947055819054	63.40490151469694	59.81178216397514	68.52961654923223	52.35089626024737	56.788424272558224	19.738199291973874	51.20390180727575
CAGL0E01419g	48.85699940752683	173.06883170402665	149.4995264066839	96.50255408540097	151.59745616766278	201.52330048068814	100.70584579103388	260.76981007453486	155.13194738299967
CAGL0E01441g	47.26281708520829	58.13588544892772	61.16993946896817	50.493490882343174	64.15193599679705	62.074522238163034	59.752655209862084	23.460259729888946	58.38805408396657
CAGL0E01463g	385.22946941673746	241.297395229119	313.0890309277449	311.8133220116094	327.3532235320975	240.00305257338758	365.84850252513473	32.93459539003641	215.6725564562369
CAGL0E01485g	44.26200330202047	66.99272539331707	68.50644531473002	44.7860374723436	71.01570673950405	72.9041530666473	45.86757345091241	98.80378617010922	65.02061414465679
CAGL0E01507g	30.38323955477676	35.11840024461356	61.55862852039925	24.63523257581449	64.74643582490553	46.72870493652361	39.6270872671148	18.384722769095664	68.43779519012395
CAGL0E01529g	8.627339626665007	5.149325549063572	8.939848182915123	7.629350986836166	11.187405856223243	6.175193749008052	8.580668502721709	5.3011163812729825	8.004813866350256
CAGL0E01551g	98.27665139940137	233.57340690552363	135.99258186945343	156.19785760835572	145.70650332549693	166.13114526249274	124.02966290297744	184.74954537287545	99.75747028401202
CAGL0E01567g	136.6308025657708	134.29441031957796	259.9843892759719	197.72249313212814	223.58598080770798	219.5880463733087	275.51746501466437	53.68790207416893	333.7805580237813
CAGL0E01573g	70.61289933563859	21.730153817048276	49.557854057464276	66.6257826636685	50.37034907246407	41.42909836088238	71.06353641799525	21.20446552509193	52.374353582691676
CAGL0E01595g	29.820586970429044	26.00409402277104	24.05013505729884	31.39099375499766	29.454764210829314	23.087851255619658	25.0399508124879	23.573049440128795	23.53011672646487
CAGL0E01617g	200.77319718141064	328.1150239863308	314.9838900534715	178.15408144070102	303.78941216343406	291.34011105394706	191.9729562290739	316.1495578023015	293.9448372535911
CAGL0E01639g	79.70911611592669	262.7700827687141	252.59929729878112	98.59916962376816	238.6106128271769	249.7727620867436	108.89648390726825	118.76756488256278	222.2782095795612
CAGL0E01661g	6.282953858549515	27.18843889905566	23.126998560149996	10.832513614897152	21.34794837298638	24.792942066912925	11.622905517323044	23.685839150368647	20.489632804120063
