	Geneid	CBS138_RPMI_DMSO_A	CBS138_RPMI_VORI_A	CBS138_RPMI_FLUC_A	CBS138_RPMI_DMSO_B	CBS138_RPMI_VORI_B	CBS138_RPMI_FLUC_B	CBS138_RPMI_DMSO_C	CBS138_RPMI_VORI_C	CBS138_RPMI_FLUC_C
3214	CAGL0J06534g	543	1691	1545	940	1224	1594	808	673	4887
3215	CAGL0J06556g	252	623	593	522	482	613	365	138	2089
3216	CAGL0J06578g	782	1844	1715	1232	1525	1440	1049	443	5523
3217	CAGL0J06600g	2316	3014	3223	3368	3112	3293	2556	664	9728
3218	CAGL0J06622g	365	969	748	523	616	722	374	484	2558
3219	CAGL0J06666g	731	817	970	1427	980	940	812	221	3402
3220	CAGL0J06688g	336	536	960	569	648	664	597	249	3808
3221	CAGL0J06710g	1593	2109	3452	2607	2945	3447	2044	1094	14131
3222	CAGL0J06732g	547	932	1125	780	1002	1100	567	429	4424
3223	CAGL0J06754g	187	435	308	251	271	339	141	111	1239
3224	CAGL0J06776g	518	975	1108	708	922	967	755	173	3896
3225	CAGL0J06798g	101	156	179	175	131	151	137	85	674
3226	CAGL0J06820g	303	1290	1466	797	1168	1968	624	609	5160
3227	CAGL0J06842g	607	1330	1158	853	939	1113	642	247	3709
3228	CAGL0J06864g	119	342	378	149	213	202	142	130	853
3229	CAGL0J06886g	496	1052	1143	830	797	1213	673	507	4074
3230	CAGL0J06908g	263	2076	1680	472	1378	2577	467	1570	6992
3231	CAGL0J06930g	1058	2028	2376	1623	2089	2557	1591	631	6908
3232	CAGL0J06952g	1429	2575	3070	1949	2548	2600	2049	694	10036
3233	CAGL0J06974g	58	145	481	163	284	218	255	15	1014
3234	CAGL0J06996g	574	1547	1609	911	1203	1569	761	337	4160
3235	CAGL0J07018g	221	933	908	445	638	1086	309	332	2933
3236	CAGL0J07040g	551	4620	2831	1784	2984	5024	1203	2449	9126
3237	CAGL0J07062g	2800	7085	6984	2032	6088	5720	2032	819	17034
3238	CAGL0J07084g	1660	11096	9612	4404	9165	11538	3629	2832	30761
3239	CAGL0J07106g	689	1658	1434	1178	1226	1589	1074	622	4600
3240	CAGL0J07128g	6704	16314	15693	15909	15768	20188	11000	6988	61948
3241	CAGL0J07150g	243	650	676	311	454	564	392	33	1669
3242	CAGL0J07172g	349	1216	1056	610	925	1272	542	751	3575
3243	CAGL0J07194g	16	38	65	13	35	28	6	32	157
3244	CAGL0J07216g	157	343	345	257	256	323	202	211	1018
3245	CAGL0J07238g	48358	58864	52181	48057	43730	42734	35703	10691	140049
3246	CAGL0J07260g	622	890	1852	732	1302	1349	1024	191	5526
3247	CAGL0J07282g	13	19	33	31	51	38	16	94	233
3248	CAGL0J07304g	202	771	615	348	568	730	219	283	2362
