"","gene","baseMean","log2FC","stderror","padj","standard_cg","database_cg","systematic_sc","standard_sc","database_sc"
"146","CAGL0H02959g",56.3535566095746,-1.36891387304286,0.566541245140869,0.0388637413707663,"TOS8","CAL0131890","YGL096W","TOS8","S000003064"
"147","CAGL0H03377g",1923.83702138916,-1.29713852046901,0.262920607410858,6.3850654680892e-06,"DBP3","CAL0131546","YGL078C","DBP3","S000003046"
"148","CAGL0H03773g",1789.41275374015,-1.6752636949725,0.248468331314724,2.72758926112695e-10,"","CAL0131530","YNL002C","RLP7","S000004947"
"149","CAGL0H04807g",896.118887128161,-1.00661292438796,0.212971863110469,1.69202740878696e-05,"","CAL0130500","YML014W","TRM9","S000004476"
"150","CAGL0H05709g",4259.97370740092,-1.87364802066271,0.216481241247715,2.39536720607079e-16,"","CAL0131474","YPL093W","NOG1","S000006014"
"151","CAGL0H06985g",4640.81816310893,-1.60198965328045,0.181273968895865,5.2881547296809e-17,"","CAL0130551","YML093W","UTP14","S000004558"
"152","CAGL0H07161g",185.719913673183,-1.14161356857656,0.242776276294978,1.87971614211002e-05,"","CAL0131978","YDR317W","HIM1","S000002725"
"153","CAGL0H07271g",378.193577701481,-1.09723474074433,0.205601229643312,9.0940772493157e-07,"","CAL0130307","YDR315C","IPK1","S000002723"
"154","CAGL0H07491g",577.357433090273,-1.33232950208591,0.208654293630868,2.55548495089814e-09,"","CAL0131776","YBR158W","AMN1","S000000362"
"155","CAGL0H07975g",1944.20380154866,-1.17124323525534,0.219921084113184,9.60512399592004e-07,"","CAL0129821","YDL051W","LHP1","S000002209"
"156","CAGL0H08778g",487.314493406051,-1.61154967035221,0.196914374226267,1.01057125627556e-14,"","CAL0132042","YPR042C","PUF2","S000006246"
"157","CAGL0H09064g",4961.06811761286,-1.44475157615968,0.264934271725831,4.97169821524723e-07,"FUR1","CAL0131842","YHR128W","FUR1","S000001170"
"158","CAGL0H09438g",399.569954750789,-1.11171917142734,0.246718257716736,4.32234628419899e-05,"","CAL0130277","YER016W","BIM1","S000000818"
"159","CAGL0H09724g",2252.7651396601,-1.6835402393434,0.229398508913196,5.08401064323817e-12,"","CAL0131974","YER006W","NUG1","S000000808"
"160","CAGL0H10076g",45.9718816816309,-3.76253044245198,0.546801034962258,1.13570394261566e-10,"","CAL0131608","YBR054W","YRO2","S000000258"
"161","CAGL0H10406g",1853.26117649943,-1.04531998069029,0.212819387033589,7.0819736237977e-06,"","CAL0130134","YDL112W","TRM3","S000002270"
"162","CAGL0I00550g",208.854446478093,-1.68470455787459,0.368456598029577,3.29858644952332e-05,"","CAL0132606","YLR297W","YLR297W","S000004288"
