"","gene","baseMean.x","log2FC.x","stderror.x","padj.x","gene_id_bg2","gene.y","baseMean.y","log2FC.y","stderror.y","padj.y"
"74","CAGL0F04499g",6958.52371795766,-1.46066902819958,0.226919597955744,1.87190431329058e-09,"GWK60_F04125","GWK60_F04125",8450.32691163292,-1.19094389698368,0.147734237279279,9.5131761239251e-15
"75","CAGL0F04983g",1697.65244329588,-1.54059768006854,0.227398360010932,2.23395845543138e-10,"GWK60_F04587","GWK60_F04587",2530.61610050221,-1.51757294109012,0.188911239549623,1.18850486427322e-14
"76","CAGL0F05709g",147.582949959402,-2.11587091987009,0.341665814912676,8.26431398975144e-09,"GWK60_F05313","GWK60_F05313",181.748341991093,-2.7846079312093,0.363214591216374,1.92638404898834e-13
"77","CAGL0F06523g",744.10622793725,-1.03383844389246,0.183342552143563,1.86314883118143e-07,"GWK60_F06083","GWK60_F06083",1004.59079061844,-1.39650882978903,0.15773176843724,1.50223306932648e-17
"78","CAGL0F06809g",1376.52266370113,-1.48723086306576,0.226810477132441,8.7437537135433e-10,"GWK60_F06391","GWK60_F06391",1625.56267544295,-1.65227412361581,0.200390579541786,2.19468193048786e-15
"79","CAGL0F06853g",1521.08101339094,-1.00071184546016,0.17442984502936,1.09115789440062e-07,"GWK60_F06435","GWK60_F06435",2718.48352157841,-1.21065670555163,0.178794086182483,9.91571281730655e-11
"80","CAGL0F07139g",2909.42981541493,-1.22143138999048,0.171299025049638,2.15935911993283e-11,"GWK60_F06721","GWK60_F06721",4312.14452036188,-1.31310554748909,0.138591845310947,6.17299704091891e-20
"81","CAGL0F07601g",38811.694823508,-1.51332607492659,0.286408677612351,1.17517120175252e-06,"GWK60_F07139","GWK60_F07139",255143.281568417,-1.80905536027247,0.119252986427336,1.22051911617563e-49
"82","CAGL0F07645g",677.512218778959,-1.56193077131711,0.222217960475715,4.22130626515079e-11,"GWK60_F07183","GWK60_F07183",1119.40313077831,-1.68796603407191,0.157782632406087,4.21745990566553e-25
"83","CAGL0F08129g",3157.28972029345,-1.71352765145481,0.215998421025222,6.68980897119728e-14,"GWK60_F07667","GWK60_F07667",3606.3898077158,-1.33028677689146,0.195195649566698,7.37839861363357e-11
"84","CAGL0F09075g",3607.23999872784,-1.02018357969707,0.225838879109378,4.14175606432084e-05,"GWK60_F08569","GWK60_F08569",5489.01923710203,-1.13317423422062,0.141968924366908,1.77120089062395e-14
"85","CAGL0G00264g",2460.06143415756,-2.08869295796864,0.191331106527595,1.20119372640272e-25,"GWK60_G00143","GWK60_G00143",4272.37612327014,-1.83275204348856,0.16003269405359,1.49711415772086e-28
"86","CAGL0G00484g",943.91637356625,-1.83429114574329,0.253845930181621,1.11164753983645e-11,"GWK60_G00385","GWK60_G00385",1165.75027340641,-2.06507813413537,0.225661763840546,1.14213782707849e-18
"87","CAGL0G02409g",1294.63222670938,-1.58872329194098,0.289232007036066,4.01475614863193e-07,"GWK60_G02277","GWK60_G02277",1540.0498545947,-1.6526250351802,0.193339758141933,1.86583835497563e-16
"88","CAGL0G02453g",42.1474542488081,-1.6247400523631,0.558897780243353,0.0114370855997827,"GWK60_G02299","GWK60_G02299",248.684523972748,-2.02901819802411,0.230827200235358,2.56660176686596e-17
"89","CAGL0G02629g",792.617252429482,-1.4940506968576,0.243612600233897,1.17707378789507e-08,"GWK60_G02497","GWK60_G02497",1148.65161239395,-1.31055620910413,0.209744423756113,2.71732965948566e-09
"90","CAGL0G02761g",1629.70393763106,-1.1438037258273,0.171392163496021,4.20695472383119e-10,"GWK60_G02629","GWK60_G02629",2546.09619400758,-1.01152255310543,0.177611457605323,6.72072599256389e-08
"91","CAGL0G03443g",5430.1663263405,-1.23559367010318,0.259662659183193,1.45973291444121e-05,"GWK60_G03311","GWK60_G03311",9011.81682046673,-1.04688082483426,0.131701783302717,2.28565512027089e-14
"92","CAGL0G03927g",127.078042048503,-1.68050873554466,0.373914891720686,4.5189326878742e-05,"GWK60_G03773","GWK60_G03773",130.258616038535,-2.24615065432201,0.316417046295306,1.09309057421733e-11
"93","CAGL0G04411g",8032.01358808521,-1.25185124473156,0.313134946093683,0.000337265859982193,"GWK60_G04213","GWK60_G04213",21304.0102894094,-1.7028497470899,0.173013740077705,2.02821185808444e-21
"94","CAGL0G05379g",626.810980974787,-1.00048711286276,0.225440905641646,5.69826718357782e-05,"GWK60_G05181","GWK60_G05181",1162.03490558482,-1.37175815982663,0.171053644556068,1.32042923236252e-14
"95","CAGL0G05566g",1803.68826207704,-1.94082083947867,0.221228810192509,9.00902558183476e-17,"GWK60_G05379","GWK60_G05379",4385.52852870255,-1.00898978723157,0.20838175882527,5.39876069852799e-06
"96","CAGL0G05742g",1417.74709354817,-2.18494659188764,0.18257718505614,1.10025320641968e-30,"GWK60_G05555","GWK60_G05555",2229.07353871754,-1.88678905549349,0.134128405499528,1.05648308776001e-42
"97","CAGL0G05808g",528.024671867832,-1.05203309830874,0.178525295527555,4.57727241916181e-08,"GWK60_G05621","GWK60_G05621",992.885466410435,-1.27349620197349,0.185959903653135,5.92045829862326e-11
"98","CAGL0G05940g",74674.2371510803,-1.01779890717839,0.282390916100441,0.00139567154221346,"GWK60_G05753","GWK60_G05753",117241.408359259,-1.07655918028283,0.132037839653467,4.583528526292e-15
"99","CAGL0G06248g",3930.61893699841,-1.52491961306082,0.186968829259765,1.22939627858128e-14,"GWK60_G06039","GWK60_G06039",6684.13290371254,-1.06909650118773,0.12407020072504,1.06699776364684e-16
"100","CAGL0G07106g",3044.30246172725,-1.45811831659524,0.249531893242901,6.02386838621975e-08,"GWK60_G06831","GWK60_G06831",4022.53758112132,-1.43100351233927,0.177155328280324,8.36580766925428e-15
"101","CAGL0G07535g",3090.30318238826,-1.54455007272553,0.170568708270192,8.63049521942272e-18,"GWK60_G07249","GWK60_G07249",3747.22834002244,-1.44432120221755,0.134730592142913,3.43109460973971e-25
"102","CAGL0G07557g",31.2208816468655,-1.58544805478404,0.500537531558202,0.00554557123956154,"GWK60_G07271","GWK60_G07271",34.8000469651279,-1.6331291901223,0.503028597406716,0.0029123688427029
"103","CAGL0G07843g",5240.98827860345,-1.38080105027956,0.204776044569,2.72553214418736e-10,"GWK60_G07557","GWK60_G07557",8111.14836527896,-1.39986864235996,0.170176731342882,2.56555968397395e-15
"104","CAGL0G07975g",899.798390481907,-1.23325707472807,0.205655899461459,2.55846627252028e-08,"GWK60_G07711","GWK60_G07711",1371.44963120591,-1.00513319649259,0.142580536892022,1.52727238737451e-11
"105","CAGL0G08019g",796.961692502228,-1.2428688577478,0.292229594268895,0.000123609936102775,"GWK60_G07755","GWK60_G07755",1741.24170291444,-1.1119391817776,0.175463622618969,1.57258583139496e-09
"106","CAGL0G09273g",454.861469396075,-1.22255115958843,0.299907941643474,0.000251864578916413,"GWK60_G09009","GWK60_G09009",553.737040876038,-1.5118051114932,0.216220157916731,2.25187101934512e-11
"107","CAGL0G09669g",1462.98609172664,-1.36029414501503,0.185406067564083,5.13996952984154e-12,"GWK60_G09383","GWK60_G09383",1767.25809976213,-1.09859881273957,0.14347232214546,2.0547161049069e-13
